               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034164,            0.028988,            0.054792,             0.87431,             0.12857,             0.18071,             0.13304,            0.027262,            0.018212,            0.051117,           0.0096535,           0.0096535,           0.0096535
                  37,            0.034269,            0.029461,            0.053885,             0.82096,             0.13789,             0.18101,             0.12963,            0.028216,            0.018201,            0.050742,           0.0096436,           0.0096436,           0.0096436
                  38,            0.033982,            0.029669,            0.052679,             0.86875,             0.13719,              0.1812,             0.13146,            0.026897,            0.017993,            0.048672,           0.0096337,           0.0096337,           0.0096337
                  39,            0.033975,            0.028748,            0.053195,             0.86439,             0.14554,             0.19293,              0.1416,            0.026595,            0.017841,            0.048153,           0.0096238,           0.0096238,           0.0096238
                  40,            0.033595,            0.028611,            0.052028,             0.87663,             0.13502,             0.19383,             0.13991,            0.028222,            0.018152,            0.049215,           0.0096139,           0.0096139,           0.0096139
                  41,            0.032888,            0.028522,            0.051296,              0.8186,             0.16113,             0.20574,             0.15072,              0.0261,            0.017677,            0.047597,            0.009604,            0.009604,            0.009604
                  42,            0.033186,            0.028323,            0.050828,             0.88857,             0.14774,             0.21225,             0.15332,            0.026011,            0.017775,            0.047111,           0.0095941,           0.0095941,           0.0095941
                  43,            0.032787,            0.028203,             0.04927,             0.87718,             0.14828,             0.21321,             0.15738,            0.026224,            0.017573,            0.046294,           0.0095842,           0.0095842,           0.0095842
                  44,            0.032835,            0.027877,            0.049076,             0.82905,             0.16663,             0.22433,             0.16347,            0.026656,             0.01825,            0.047847,           0.0095743,           0.0095743,           0.0095743
                  45,            0.033585,            0.028303,            0.049321,             0.76822,              0.1953,             0.22717,             0.16291,            0.026166,            0.017417,            0.045529,           0.0095644,           0.0095644,           0.0095644
                  46,            0.032713,            0.028051,             0.04847,             0.74522,             0.19985,             0.24039,             0.17871,             0.02553,             0.01729,             0.04497,           0.0095545,           0.0095545,           0.0095545
                  47,             0.03267,            0.028178,            0.047867,             0.78579,             0.20045,             0.23176,             0.16355,            0.025945,            0.017675,            0.045227,           0.0095446,           0.0095446,           0.0095446
                  48,            0.032596,            0.028348,            0.047623,             0.75606,             0.19972,             0.23787,             0.17142,            0.026475,            0.017745,            0.044457,           0.0095347,           0.0095347,           0.0095347
                  49,            0.032089,            0.027929,            0.046734,             0.76313,             0.21512,             0.25126,             0.18056,            0.026105,             0.01747,            0.043871,           0.0095248,           0.0095248,           0.0095248
                  50,            0.031878,            0.027647,            0.046239,             0.75438,             0.22369,             0.26993,             0.20012,            0.025137,            0.016956,            0.043116,           0.0095149,           0.0095149,           0.0095149
                  51,            0.032309,            0.027466,            0.046725,             0.77215,             0.22433,             0.26637,             0.19122,            0.026379,            0.017237,            0.042882,            0.009505,            0.009505,            0.009505
                  52,            0.032242,            0.027867,            0.045234,              0.7492,             0.23935,             0.26826,             0.19739,            0.025877,            0.017438,            0.042653,           0.0094951,           0.0094951,           0.0094951
                  53,            0.032315,            0.027606,            0.044763,             0.71258,             0.24806,             0.26653,              0.1985,            0.025216,            0.016997,            0.042707,           0.0094852,           0.0094852,           0.0094852
                  54,            0.031916,            0.027588,             0.04402,             0.74392,             0.23309,             0.27114,             0.19761,            0.025874,            0.017615,            0.043417,           0.0094753,           0.0094753,           0.0094753
                  55,            0.032026,            0.027114,            0.044079,             0.83761,             0.21312,             0.28204,             0.21153,            0.024696,             0.01682,            0.041837,           0.0094654,           0.0094654,           0.0094654
                  56,            0.031745,            0.027216,            0.043733,             0.78305,             0.24355,             0.28848,             0.21093,              0.0257,            0.017646,             0.04135,           0.0094555,           0.0094555,           0.0094555
                  57,            0.031056,            0.027356,            0.043215,             0.86761,             0.20838,             0.30275,             0.21506,            0.024584,            0.017193,            0.041802,           0.0094456,           0.0094456,           0.0094456
                  58,            0.031802,            0.026632,            0.042208,             0.78414,             0.24785,             0.30548,             0.22351,            0.024988,            0.016836,            0.040598,           0.0094357,           0.0094357,           0.0094357
                  59,            0.031264,            0.026917,             0.04203,             0.78768,             0.24105,             0.30681,             0.22727,            0.025012,            0.016696,             0.03969,           0.0094258,           0.0094258,           0.0094258
                  60,            0.031386,              0.0272,            0.041513,             0.77865,              0.2507,             0.31436,             0.23415,            0.025035,            0.016974,            0.039688,           0.0094159,           0.0094159,           0.0094159
                  61,            0.030508,            0.026244,            0.040819,             0.89286,             0.22721,             0.33118,             0.24125,            0.024787,             0.01696,            0.040537,            0.009406,            0.009406,            0.009406
                  62,            0.031304,            0.026777,            0.040854,             0.78952,             0.27371,             0.33763,             0.24317,            0.024913,            0.017122,            0.039404,           0.0093961,           0.0093961,           0.0093961
                  63,            0.030774,            0.026648,            0.039657,             0.81707,              0.2732,             0.34859,             0.25349,            0.025722,            0.016945,            0.038494,           0.0093862,           0.0093862,           0.0093862
                  64,            0.030841,            0.026163,             0.04038,             0.85285,             0.25645,             0.36015,             0.25732,            0.024794,            0.016769,             0.03865,           0.0093763,           0.0093763,           0.0093763
                  65,            0.031181,            0.026514,            0.038994,             0.71203,              0.3216,             0.36009,             0.26534,            0.024078,            0.016852,            0.037812,           0.0093664,           0.0093664,           0.0093664
                  66,            0.031052,            0.026261,            0.039273,             0.85459,             0.25944,             0.34858,             0.24967,            0.025267,            0.017739,            0.038696,           0.0093565,           0.0093565,           0.0093565
                  67,            0.031307,            0.026309,            0.038437,             0.83812,             0.27595,             0.36074,               0.266,            0.024574,            0.016872,            0.037934,           0.0093466,           0.0093466,           0.0093466
