               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036498,            0.034358,            0.064491,             0.79414,             0.12333,             0.10638,            0.074654,             0.02866,             0.01968,            0.060797,           0.0096535,           0.0096535,           0.0096535
                  37,            0.036905,            0.034927,            0.063702,             0.82381,             0.10645,             0.11195,            0.074701,            0.029882,            0.019812,            0.060404,           0.0096436,           0.0096436,           0.0096436
                  38,            0.036484,            0.035133,            0.062741,             0.79652,             0.13208,             0.11769,            0.084195,            0.028493,            0.019485,            0.059101,           0.0096337,           0.0096337,           0.0096337
                  39,            0.036711,            0.034343,            0.062778,             0.92845,            0.078814,             0.11352,            0.079811,            0.029022,            0.020318,            0.059394,           0.0096238,           0.0096238,           0.0096238
                  40,            0.035579,            0.034005,            0.061998,             0.77673,             0.13171,             0.11519,             0.08178,            0.028122,            0.019243,            0.058362,           0.0096139,           0.0096139,           0.0096139
                  41,            0.036561,            0.034393,            0.061553,              0.8047,             0.13915,             0.11537,            0.080228,            0.030178,            0.020132,             0.05812,            0.009604,            0.009604,            0.009604
                  42,            0.035143,            0.033579,            0.060616,             0.79589,             0.13162,             0.13003,            0.092045,            0.029023,            0.019757,            0.056949,           0.0095941,           0.0095941,           0.0095941
                  43,              0.0351,             0.03361,            0.059937,             0.83095,             0.13074,             0.13311,            0.096143,            0.027765,            0.019444,            0.056803,           0.0095842,           0.0095842,           0.0095842
                  44,            0.035679,            0.033323,            0.059275,             0.78662,             0.14366,             0.14294,             0.10429,            0.027238,            0.019214,            0.055628,           0.0095743,           0.0095743,           0.0095743
                  45,            0.035376,            0.033617,            0.058821,             0.80045,              0.1421,             0.14694,             0.10708,            0.027303,            0.018999,             0.05486,           0.0095644,           0.0095644,           0.0095644
                  46,            0.034403,            0.033217,            0.058191,             0.78197,             0.15228,              0.1558,             0.11331,            0.027769,            0.019408,            0.054761,           0.0095545,           0.0095545,           0.0095545
                  47,            0.035146,            0.033642,            0.057331,             0.79211,             0.15275,             0.16936,             0.12439,            0.027349,            0.019074,            0.053202,           0.0095446,           0.0095446,           0.0095446
                  48,            0.035334,            0.033882,            0.056894,             0.76592,             0.15576,             0.16715,             0.12107,            0.027659,            0.019213,            0.054093,           0.0095347,           0.0095347,           0.0095347
                  49,              0.0345,            0.032967,            0.055771,             0.84508,             0.12377,             0.17198,             0.12229,            0.028252,             0.01919,            0.052255,           0.0095248,           0.0095248,           0.0095248
                  50,            0.034964,            0.032971,            0.055281,              0.8052,             0.16005,             0.18071,             0.13107,            0.027017,            0.018973,            0.051397,           0.0095149,           0.0095149,           0.0095149
