               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098204,             0.15372,             0.11097,                   0,                   0,                   0,                   0,            0.081929,             0.14139,             0.10666,            0.070882,           0.0032353,           0.0032353
                   1,            0.084162,             0.17353,             0.10952,                   0,                   0,                   0,                   0,            0.075062,             0.14597,             0.10618,            0.040876,           0.0065621,           0.0065621
                   2,            0.080574,             0.16226,             0.10685,                   0,                   0,                   0,                   0,            0.077083,             0.13997,             0.10595,            0.010863,           0.0098824,           0.0098824
                   3,            0.077081,             0.14468,             0.10116,          0.00022823,            0.011161,          0.00026242,          4.4946e-05,            0.090158,             0.13359,             0.10126,           0.0099703,           0.0099703,           0.0099703
                   4,            0.072905,               0.129,            0.096114,             0.24774,           0.0025489,          0.00042496,          7.0697e-05,            0.090518,             0.31341,              0.1347,           0.0099703,           0.0099703,           0.0099703
                   5,            0.069175,             0.12457,            0.092667,          0.00045234,            0.015314,          0.00033209,          7.6969e-05,            0.089496,            0.095093,             0.10949,           0.0099604,           0.0099604,           0.0099604
                   6,            0.066463,             0.12246,            0.091123,           0.0018885,            0.074641,           0.0029125,           0.0010343,            0.072183,             0.10424,            0.089941,           0.0099505,           0.0099505,           0.0099505
                   7,            0.062338,             0.12031,            0.090217,            0.008443,             0.18017,            0.013384,           0.0049859,            0.050132,            0.099503,            0.087687,           0.0099406,           0.0099406,           0.0099406
                   8,            0.058632,             0.11855,            0.089564,           0.0078197,             0.15232,            0.010872,           0.0046239,            0.060638,               0.092,            0.086802,           0.0099307,           0.0099307,           0.0099307
                   9,            0.058557,             0.11429,            0.087931,           0.0076878,             0.17983,            0.014472,           0.0059137,            0.052157,            0.091553,            0.086192,           0.0099208,           0.0099208,           0.0099208
                  10,            0.056936,             0.11461,            0.087448,           0.0080631,              0.2259,            0.014364,           0.0065707,            0.046127,            0.088931,            0.086058,           0.0099109,           0.0099109,           0.0099109
                  11,            0.052923,             0.10922,            0.087524,             0.01332,              0.2258,            0.024116,            0.011528,            0.048348,            0.088989,            0.085403,            0.009901,            0.009901,            0.009901
                  12,            0.052766,             0.11522,            0.087006,            0.011547,             0.30186,            0.023822,            0.013425,            0.040183,            0.085391,            0.085016,           0.0098911,           0.0098911,           0.0098911
                  13,            0.051197,             0.10775,            0.087408,            0.011821,              0.1878,            0.020869,            0.009597,            0.045188,             0.10079,            0.084964,           0.0098812,           0.0098812,           0.0098812
                  14,            0.049042,             0.10248,            0.085771,           0.0096393,             0.25408,            0.018946,           0.0084996,            0.047924,            0.090622,            0.084578,           0.0098713,           0.0098713,           0.0098713
                  15,            0.047591,             0.10712,            0.085311,             0.27887,           0.0084587,           0.0044402,           0.0021617,            0.057171,             0.18226,            0.087174,           0.0098614,           0.0098614,           0.0098614
                  16,             0.04714,             0.10551,             0.08526,           0.0089438,             0.29019,            0.022801,            0.010522,            0.045611,            0.084361,              0.0837,           0.0098515,           0.0098515,           0.0098515
                  17,            0.046869,            0.098894,            0.085781,           0.0098101,             0.25576,            0.021483,            0.011758,            0.041945,            0.084218,            0.083945,           0.0098416,           0.0098416,           0.0098416
                  18,            0.046777,             0.10449,            0.085771,            0.016141,             0.28165,            0.031693,            0.020123,            0.037104,            0.081711,            0.083469,           0.0098317,           0.0098317,           0.0098317
                  19,            0.045426,             0.10136,            0.084115,            0.015678,             0.34471,            0.036634,            0.021581,            0.035179,            0.076319,            0.082785,           0.0098218,           0.0098218,           0.0098218
                  20,            0.043989,             0.10113,            0.085249,            0.011934,             0.23171,            0.026194,            0.015611,            0.034955,              0.0811,             0.08245,           0.0098119,           0.0098119,           0.0098119
                  21,            0.041329,             0.10178,            0.083398,            0.012703,             0.33641,            0.029132,             0.01515,            0.039723,            0.083115,            0.081766,            0.009802,            0.009802,            0.009802
                  22,            0.044024,             0.10147,             0.08379,           0.0087601,             0.18647,            0.024645,            0.015782,            0.035354,            0.082352,            0.081639,           0.0097921,           0.0097921,           0.0097921
                  23,            0.042316,            0.096827,            0.082854,            0.013363,             0.32003,            0.032452,            0.018355,            0.038915,            0.080269,            0.081424,           0.0097822,           0.0097822,           0.0097822
                  24,            0.041309,            0.097745,             0.08285,            0.011722,             0.34318,            0.039711,            0.024625,             0.03486,            0.072904,            0.080546,           0.0097723,           0.0097723,           0.0097723
                  25,             0.04229,            0.096814,            0.083094,            0.016517,             0.41774,            0.051127,            0.030255,            0.038546,            0.075211,            0.080471,           0.0097624,           0.0097624,           0.0097624
                  26,            0.041118,            0.098392,            0.082907,            0.012959,             0.37024,            0.048572,             0.03053,            0.033581,            0.077665,            0.080196,           0.0097525,           0.0097525,           0.0097525
                  27,             0.04037,            0.095702,            0.083014,            0.012283,             0.38701,            0.045051,            0.026525,            0.032779,            0.073138,             0.07949,           0.0097426,           0.0097426,           0.0097426
                  28,            0.040952,            0.091391,            0.081877,            0.013099,             0.29368,            0.041852,            0.021928,             0.03598,            0.076281,            0.078924,           0.0097327,           0.0097327,           0.0097327
                  29,            0.040963,             0.09509,            0.081451,            0.012361,             0.37528,            0.043387,            0.021575,            0.041182,            0.077377,             0.07866,           0.0097228,           0.0097228,           0.0097228
                  30,            0.038385,            0.093014,            0.081746,            0.012374,             0.36419,            0.049743,            0.031489,            0.034656,            0.072533,            0.078147,           0.0097129,           0.0097129,           0.0097129
                  31,            0.037042,            0.093293,            0.080503,            0.011459,              0.2781,            0.050517,            0.027914,             0.03364,            0.072866,            0.077091,            0.009703,            0.009703,            0.009703
                  32,            0.039946,            0.091358,            0.081196,            0.016433,             0.38823,            0.053458,            0.031564,            0.034295,            0.072136,            0.077444,           0.0096931,           0.0096931,           0.0096931
                  33,            0.038047,              0.0909,            0.079308,            0.015083,             0.38485,            0.056651,            0.033548,            0.033011,            0.076609,            0.076302,           0.0096832,           0.0096832,           0.0096832
                  34,            0.038017,            0.088915,            0.079088,             0.74434,            0.084117,            0.052006,            0.030818,            0.031842,            0.069153,            0.075733,           0.0096733,           0.0096733,           0.0096733
                  35,            0.038066,            0.090252,            0.078012,            0.019532,             0.40278,            0.063501,              0.0395,            0.031294,            0.073596,            0.075357,           0.0096634,           0.0096634,           0.0096634
                  36,            0.036106,            0.091735,            0.077747,             0.79496,            0.071101,            0.060153,            0.035126,            0.031876,            0.069626,            0.073695,           0.0096535,           0.0096535,           0.0096535
                  37,            0.037923,            0.086896,            0.077485,             0.18028,             0.32856,            0.047191,            0.027542,            0.037489,            0.077189,            0.074729,           0.0096436,           0.0096436,           0.0096436
                  38,            0.037804,            0.090169,            0.076961,             0.82031,             0.06254,            0.063905,            0.037805,            0.031469,            0.070997,            0.072992,           0.0096337,           0.0096337,           0.0096337
                  39,            0.037186,            0.089891,            0.075841,             0.88478,            0.054911,            0.060402,            0.038162,            0.029221,            0.068713,             0.07211,           0.0096238,           0.0096238,           0.0096238
                  40,            0.036476,            0.084401,            0.075565,             0.84267,            0.064277,            0.066618,            0.040973,            0.031271,             0.07237,            0.072691,           0.0096139,           0.0096139,           0.0096139
                  41,            0.036725,            0.089413,            0.075914,             0.70064,            0.062509,            0.070698,            0.044045,            0.028718,            0.069196,            0.072973,            0.009604,            0.009604,            0.009604
                  42,            0.036121,            0.085265,             0.07323,             0.75121,            0.064944,            0.079968,            0.050915,            0.030846,            0.070132,            0.071329,           0.0095941,           0.0095941,           0.0095941
                  43,            0.036822,            0.085781,            0.073533,             0.73954,            0.057927,            0.062953,            0.037632,             0.03134,            0.071373,            0.071114,           0.0095842,           0.0095842,           0.0095842
                  44,              0.0357,            0.085492,            0.075057,              0.8098,            0.062209,            0.067673,            0.041949,            0.030474,            0.069252,            0.070894,           0.0095743,           0.0095743,           0.0095743
                  45,            0.033585,            0.082675,            0.073516,             0.77392,            0.080251,            0.074088,            0.048795,            0.027848,            0.068395,            0.069507,           0.0095644,           0.0095644,           0.0095644
                  46,            0.033795,            0.088832,             0.07316,             0.74784,            0.078922,            0.070777,             0.04254,            0.031362,            0.068309,            0.069447,           0.0095545,           0.0095545,           0.0095545
                  47,            0.035682,            0.081813,            0.074277,             0.79556,            0.061323,             0.07058,            0.041883,            0.030456,            0.068352,            0.070262,           0.0095446,           0.0095446,           0.0095446
                  48,             0.03633,            0.082471,            0.072778,             0.84102,             0.06509,            0.074858,            0.047025,            0.029696,            0.068026,            0.069299,           0.0095347,           0.0095347,           0.0095347
                  49,            0.034349,            0.079987,            0.072096,             0.79085,            0.070327,            0.070706,            0.045502,            0.029119,            0.068731,            0.069016,           0.0095248,           0.0095248,           0.0095248
                  50,            0.033791,             0.08072,            0.071591,              0.7071,            0.084663,            0.080722,            0.052965,            0.027333,            0.067345,            0.068112,           0.0095149,           0.0095149,           0.0095149
                  51,            0.032505,            0.081922,            0.069923,             0.82779,            0.089474,            0.081809,            0.054809,            0.028502,            0.074984,            0.068317,            0.009505,            0.009505,            0.009505
                  52,            0.034265,            0.084233,            0.070412,             0.76568,             0.07149,             0.08499,            0.056463,            0.026737,            0.065104,             0.06819,           0.0094951,           0.0094951,           0.0094951
                  53,            0.032724,            0.081072,            0.070182,             0.83229,            0.064562,            0.079477,            0.053704,             0.02933,            0.072619,             0.07015,           0.0094852,           0.0094852,           0.0094852
                  54,            0.034064,            0.079603,            0.070333,             0.73015,            0.080946,            0.090282,            0.059735,             0.02782,            0.066905,            0.067063,           0.0094753,           0.0094753,           0.0094753
                  55,             0.03241,            0.080795,             0.07063,             0.72655,            0.079447,            0.084308,            0.052709,            0.030444,             0.07162,             0.06735,           0.0094654,           0.0094654,           0.0094654
                  56,            0.031849,            0.081815,            0.070039,              0.7345,            0.092636,            0.094234,            0.065108,            0.027345,             0.06575,            0.066357,           0.0094555,           0.0094555,           0.0094555
                  57,            0.034751,            0.081769,            0.070214,             0.81533,            0.077932,            0.095961,            0.063354,            0.029826,            0.067362,            0.066397,           0.0094456,           0.0094456,           0.0094456
                  58,            0.034438,            0.079878,            0.069738,             0.81714,            0.085129,            0.097813,            0.066452,            0.027504,            0.067065,            0.066126,           0.0094357,           0.0094357,           0.0094357
                  59,            0.033467,            0.076954,            0.068101,              0.7492,             0.09286,            0.092042,            0.054434,            0.035195,            0.070012,            0.065315,           0.0094258,           0.0094258,           0.0094258
                  60,            0.033657,            0.076557,            0.069169,             0.72843,            0.098172,              0.0983,            0.064078,            0.027112,            0.070394,            0.065364,           0.0094159,           0.0094159,           0.0094159
                  61,            0.030607,            0.075835,            0.068047,             0.73127,             0.10814,             0.10117,            0.066336,            0.028774,            0.066093,            0.064463,            0.009406,            0.009406,            0.009406
                  62,            0.032152,            0.079405,            0.067494,             0.74414,             0.10771,            0.097823,            0.069326,            0.026244,             0.06559,            0.064902,           0.0093961,           0.0093961,           0.0093961
                  63,            0.031742,            0.077693,            0.065987,             0.77918,            0.093725,            0.099789,            0.064876,            0.028329,            0.064176,            0.064456,           0.0093862,           0.0093862,           0.0093862
                  64,            0.032583,            0.075667,            0.066672,             0.77896,             0.10734,             0.10491,            0.071041,            0.027211,            0.064565,            0.064118,           0.0093763,           0.0093763,           0.0093763
                  65,            0.032407,            0.077579,            0.067317,             0.81502,             0.10879,              0.1077,            0.077045,            0.025391,            0.062515,            0.063455,           0.0093664,           0.0093664,           0.0093664
                  66,            0.033084,            0.075662,            0.065723,             0.79321,             0.10486,             0.10651,            0.072884,            0.024987,            0.061996,            0.063251,           0.0093565,           0.0093565,           0.0093565
                  67,            0.030483,            0.075314,            0.067091,              0.8794,             0.07331,             0.12225,            0.083831,            0.025647,            0.064807,            0.063705,           0.0093466,           0.0093466,           0.0093466
                  68,            0.032877,            0.074029,            0.065025,             0.80809,             0.10027,             0.11893,            0.079554,            0.026927,            0.066088,            0.063482,           0.0093367,           0.0093367,           0.0093367
                  69,            0.031516,            0.073071,            0.065068,             0.78719,             0.11483,             0.12094,            0.084371,            0.025653,            0.061864,            0.062544,           0.0093268,           0.0093268,           0.0093268
                  70,            0.031748,            0.074404,            0.064639,               0.852,             0.10727,             0.11476,            0.078178,            0.027512,            0.068385,            0.062808,           0.0093169,           0.0093169,           0.0093169
                  71,            0.029802,            0.077419,            0.065358,             0.73148,             0.10627,             0.10425,             0.06904,            0.027405,            0.069181,            0.061797,            0.009307,            0.009307,            0.009307
                  72,            0.029864,            0.076777,            0.063353,             0.78713,             0.11396,             0.11726,            0.080127,            0.027448,            0.065626,            0.061309,           0.0092971,           0.0092971,           0.0092971
                  73,            0.032129,            0.077413,            0.064541,              0.7758,             0.13273,             0.11301,            0.076451,            0.026694,            0.062322,            0.061425,           0.0092872,           0.0092872,           0.0092872
                  74,            0.032438,            0.074563,            0.063041,             0.79518,             0.13745,             0.12544,            0.087248,            0.026112,            0.062909,             0.06054,           0.0092773,           0.0092773,           0.0092773
                  75,            0.031886,            0.072449,            0.062655,             0.80255,              0.1242,             0.12603,             0.07734,            0.029226,            0.067579,            0.060372,           0.0092674,           0.0092674,           0.0092674
                  76,            0.031636,            0.071983,            0.062907,             0.74298,             0.13416,             0.11994,            0.082091,            0.026389,            0.064624,            0.061049,           0.0092575,           0.0092575,           0.0092575
                  77,            0.029701,             0.07496,            0.063033,             0.72774,             0.12533,             0.11436,            0.076837,            0.026707,            0.062894,            0.061347,           0.0092476,           0.0092476,           0.0092476
                  78,            0.030995,            0.071184,            0.061928,             0.79998,             0.12212,             0.11987,            0.080887,            0.024976,            0.062261,            0.061555,           0.0092377,           0.0092377,           0.0092377
                  79,            0.031222,            0.073037,            0.063971,             0.78221,             0.12301,             0.12438,             0.08445,            0.026879,            0.064219,            0.059892,           0.0092278,           0.0092278,           0.0092278
                  80,            0.031514,            0.075012,            0.061215,             0.79883,             0.13533,              0.1422,             0.09412,            0.024475,            0.061259,            0.057583,           0.0092179,           0.0092179,           0.0092179
                  81,            0.028555,            0.074253,            0.061439,              0.7517,              0.1477,             0.13954,             0.09759,             0.02535,            0.063937,             0.05781,            0.009208,            0.009208,            0.009208
                  82,            0.031588,            0.072547,            0.061614,             0.79002,              0.1026,             0.11329,             0.07815,            0.024996,            0.064753,            0.058516,           0.0091981,           0.0091981,           0.0091981
                  83,            0.030226,             0.07095,            0.060611,             0.79798,             0.13582,             0.13582,            0.098015,            0.023849,            0.061559,            0.057973,           0.0091882,           0.0091882,           0.0091882
